id,author_id,text,created_at,like_count,retweet_count,reply_count,impression_count,quote_count
1618417370254704641,783763542805807105,"ARE YALL PAYING ATTENTION TO THE SCIENCE IN THE LAST OF US?!?! 

FUNGUS ! MFS FUNGUS COULD LITERALLY BE THE CAUSE OF A ZOMBIE APOCALYPSE AND ITS BEEN GETTING HOTTER THAN HELL 😰 
#TheLastOfUs #TheLastOfUsHBO #zombies",2023-01-26 01:15:44+00:00,0,0,1,67,0
1618416622775201792,2343838135,"thank you #TheLastOfUs #TheLastOfUsHBO for finally pushing me to get off my ass and clean the house and wash the dishes. aint tryna have NO typa mold, fungus, dirt, spores, NOTHING around me ever 🧹🧼🧽",2023-01-26 01:12:46+00:00,1,0,1,40,0
1618414802547924994,329153994,Ok here she is!!!!! THE SANIDERM IS STILL ON BUT I CANT WAIT LOOK AT HER 😌🍄🦠😭🦋🔪🎸🥰 #thelastofus  #TheLastOfUsHBO https://t.co/m2blXzb6f9,2023-01-26 01:05:32+00:00,39,0,4,861,0
1618413153322426370,1544252250557542400,"I’ve been enjoying the show so much so I’ve decided to finally play this game for the first time ever and live on stream! Get ready for The Last of Sundays! Will we finish the game before the show is over?

#TheLastOfUs #PlayStation5 #TheLastOfUsHBO #PlayStation #playstationau https://t.co/bKkCUoAiZP",2023-01-26 00:58:59+00:00,0,0,0,58,0
1618411062726135808,914709047370280961,#live with some #TheLastOfUs part 1 cause we need to talk about #TheLastOfUsHBO https://t.co/5sLEiZ0Jvk the cafe is open #twitch #streaming #vtuber #envtuber,2023-01-26 00:50:40+00:00,7,1,0,100,0
1618410047780040707,723532208179404800,"My initial review for #TheLastOfUs pilot episode, the casting is perfect, the visual and tonal aspects are perfect and it’s a fantastic introduction to these characters and the world #TV #HBO #TLOU #tlouhbo #TheLastOfUsHBO 

 https://t.co/Upza5aRouV",2023-01-26 00:46:38+00:00,0,0,0,33,0
1618409739783933954,1524814739926200322,"The cold opens have been so good for #TheLastOfUsHBO 

What do you think the next one will be? 

WRONG ANSWERS ONLY (no spoilers please)
#TheLastOfUs #tlou",2023-01-26 00:45:25+00:00,8,1,4,1229,1
1618408457522286592,1596536637990834181,"Man, I'm loving this series :D

#TheLastOfUs #TheLastOfUsHBO #commissionsopen #portrait https://t.co/wHwRy8vtTW",2023-01-26 00:40:19+00:00,1,1,0,30,0
1618408336738902018,1601027190920994816,The Last of Us HBO Show is Godly https://t.co/scmTGPjt1G via @YouTube #TheLastOfUs #TheLastOfUsHBO #comedy #YouTube  Check out my video!!!,2023-01-26 00:39:50+00:00,1,0,0,19,0
1618405889844645888,1140379807131328513,The Last Of Us || Joel and Ellie || I Swear THE ULTIMATE EMOTIONAL TRIBUTE TO JOEL AND ELLIE.... MUST WATCH!! https://t.co/utvhOVXD5v via @YouTube #tlou #TheLastOfUs #TheLastOfUsHBO #videogames #tribute #Xbox #PlayStation #JOELMILLER #ellie #tvshow #movie #part1 #emotional #video,2023-01-26 00:30:07+00:00,0,0,0,55,1
1618404788273807361,723532208179404800,"It’s finally time, #HBO’s adaption of #TheLastOfUs is almost here! This is for our season 1 preview, #TV #TheLastOfUsHBO 

 https://t.co/YD8dFZLYZj",2023-01-26 00:25:44+00:00,0,0,0,23,0
1618404100793827330,1402720595570216964,tess servopoulos ellie williams joel miller anna torv bella ramsey pedro pascal fireflies vagalumes the last of us #TLOU #TheLastOfUs #TheLastOfUsHBO edit fancam https://t.co/JZPZvLQjYt,2023-01-26 00:23:00+00:00,0,0,0,194,0
1618403618595680256,14255357,"“Bomb”

Fuck. What an opening. #TheLastOfUs #TheLastOfUsHBO https://t.co/1wgaBKxVoz",2023-01-26 00:21:05+00:00,1,0,0,53,0
1618403566468857857,1058924838432202752,The Last Of Us SEASON 2 THEORY! EPISODE 3 TRAILER Breakdown! #tlou #TheLastOfUs #TheLastOfUsHBO https://t.co/Sgz0h0DtQ6 https://t.co/v7Rwp7sYfm,2023-01-26 00:20:53+00:00,0,0,0,58,0
1618403005598138368,635638401,"Tess was such a badass
#TheLastOfUs #TheLastOfUsHBO https://t.co/eKxjXaxIDX",2023-01-26 00:18:39+00:00,0,0,0,45,0
1618402788849111043,1448690440530694146,"HEY, KIDS!!

Last Of Us Episode 2 Sets All Time Viewing Record For HBO

#TheLastOfUs #TheLastOfUsHBO",2023-01-26 00:17:47+00:00,1,0,0,25,0
1618401745998348288,1319095658238955520,Anyone that played the game “The last of us” Watching the show? I’m on episode one I’m really impressed so far #TheLastOfUsHBO #TheLastOfUs,2023-01-26 00:13:39+00:00,30,0,5,1192,0
1618400024529965056,1023193134258421760,"Daily trending scripted:
1. #SaveWarriorNun
2. #WarriorNun
3. #TheLastOfUs
4. #TheLastOfUsHBO
5. #911LoneStar

like, RT &amp; follow https://t.co/OKbNMRzkkX",2023-01-26 00:06:48+00:00,1,0,0,150,0
1618399594127429632,1520894808599973888,Respectfully Mr Pascal I am down tremendously #TheLastOfUs #TheLastOfUsHBO https://t.co/hJg6WtyaCO,2023-01-26 00:05:06+00:00,0,1,0,38,0
1618399024817799168,1490801222596526080,"Played The Last of Us last 2020 on PS4. Knowing it already has a live adaptation on HBO Max, I want to watch it during our semestral break. 
#TheLastOfUs  #TheLastOfUsHBO",2023-01-26 00:02:50+00:00,0,0,0,22,0
1618398296833396736,1174295264766648320,Going to work on some others in this series. I like how these two came out together. Joel and Ellie - The Last of Us #TheLastOfUsHBO #TheLastOfUs #redbubbleartist #Videogame #digitalart #minimalist https://t.co/WveurnZxzB,2023-01-25 23:59:57+00:00,1,0,0,32,0
